cluster_id;Kingdom;Phylum;Class;Order;Family;Genus;Species;SpeciesName;MashRef;
cluster.1;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;propionicifaciens;Bacteroides propionicifaciens;Bacteroides_propionicifaciens_DSM_19291_JCM_14649.fna;http://www.cbs.dtu.dk/public/CGE/databases/CuratedGenomes/bacteria/GCF_000375405.1_ASM37540v1_genomic.fna
cluster.3;Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Peptoniphilus;obesi;Peptoniphilus obesi;Peptoniphilus_obesi_ph1.fna;https://www.ncbi.nlm.nih.gov/assembly/GCA_000311865.1
cluster.4;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Chelonobacter;oris.fna;Chelonobacter oris;Chelonobacter_oris.fna;
cluster.5;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;boevrei;Moraxella boevrei;Moraxella_boevrei_DSM_14165.fna;
cluster.6;Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter;cibarius;Arcobacter cibarius;Arcobacter_cibarius_LMG_21996.fna;
cluster.7;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;Nitrosomonas;sp.;Nitrosomonas sp.;Nitrosomonas_sp._AL212.fna;
cluster.8;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;sp.;Faecalibacterium sp.;Faecalibacterium_sp._CAG_74.fna;
cluster.9;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Aquaspirillaceae;Aquaspirillum;serpens;Aquaspirillum serpens;Aquaspirillum_serpens_DSM_68.fna;
cluster.10;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;sp.;Carnobacterium sp.;Carnobacterium_sp._N15.MGS_207.fna;
cluster.12;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;torques;Ruminococcus torques;Ruminococcus_torques_ATCC_27756.fna;
cluster.13;Bacteria;Thermotogae;Thermotogae;Thermotogales;Fervidobacteriaceae;Thermosipho;melanesiensis;Thermosipho melanesiensis;Thermosipho_melanesiensis_BI429.fna;
cluster.14;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;variabile;Subdoligranulum variabile;Subdoligranulum_variabile_DSM_15176.fna;
cluster.15;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylobacillus;bacterium;Methylophilaceae bacterium;Methylophilaceae_bacterium_11.fna;
cluster.16;Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Sulfurospirillaceae;Sulfurospirillum;deleyianum;Sulfurospirillum deleyianum;Sulfurospirillum_deleyianum_DSM_6946.fna;
cluster.17;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sebaldella;termitidis;Sebaldella termitidis;Sebaldella_termitidis_ATCC_33386.fna;
cluster.18;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Melissococcus;plutonius;Melissococcus plutonius;Melissococcus_plutonius_DAT561.fna;
cluster.19;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;gadei;Dysgonomonas gadei;Dysgonomonas_gadei_ATCC_BAA_286.fna;
cluster.21;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;nucleatum;Fusobacterium nucleatum;Fusobacterium_nucleatum_CTI_1.fna;
cluster.22;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Ralstonia;solanacearum;Ralstonia solanacearum;Ralstonia_solanacearum_FQY_4.fna;
cluster.23;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius;Streptococcus salivarius;Streptococcus_salivarius_CCHSS3.fna;
cluster.24;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;psychrophilum;Flavobacterium psychrophilum;Flavobacterium_psychrophilum_JIP02_86.fna;
cluster.25;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;gnavus;Ruminococcus gnavus;Ruminococcus_gnavus_CC55_001C.fna;
cluster.26;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;merdae;Parabacteroides merdae;Parabacteroides_merdae_CAG_48.fna;
cluster.27;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;putredinis;Alistipes putredinis;Alistipes_putredinis_CAG_67.fna;
cluster.28;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;eggerthii;Bacteroides eggerthii;Bacteroides_eggerthii_CAG_109.fna;
cluster.29;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;sp.;Odoribacter sp.;Odoribacter_sp._N54.MGS_14.fna;
cluster.30;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales;Burkholderiales;bacterium;Burkholderiales bacterium;Burkholderiales_bacterium_JOSHI_001.fna;
