cluster_id,taxa_id,taxa_level,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,avg_dist
cluster.18,uSGB_14874,Other,k__Bacteria,p__Firmicutes,c__CFGB3012,o__OFGB3012,f__FGB3012,g__GGB9479,s__GGB9479_SGB14874,t__SGB14874,0.009878194
cluster.12,kSGB_4608,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Ruminococcus_torques,t__SGB4608,0.010550476
cluster.17,kSGB_6075,Species,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Sebaldella,s__Sebaldella_termitidis,t__SGB6075,0.0107577
cluster.68,kSGB_5736,Species,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus_intestini,t__SGB5736,0.014062386
cluster.26,kSGB_1949,Species,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides_merdae,t__SGB1949,0.017059294
cluster.28,kSGB_1829,Species,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_eggerthii,t__SGB1829,0.017750694
cluster.39,kSGB_9016,Species,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__Nitrospira_sp_ND1,t__SGB9016,0.01839835
cluster.29,kSGB_1790,Species,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter_splanchnicus,t__SGB1790,0.018571471
cluster.27,kSGB_2318,Species,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_putredinis,t__SGB2318,0.019132442
cluster.10,uSGB_5792,Other,k__Bacteria,p__Proteobacteria,c__CFGB1704,o__OFGB1704,f__FGB1704,g__GGB4258,s__GGB4258_SGB5792,t__SGB5792,0.019592696
cluster.50,uSGB_15286,Family,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB9728,s__GGB9728_SGB15286,t__SGB15286,0.020386591
cluster.45,kSGB_17244,Species,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_adolescentis,t__SGB17244,0.023232266
cluster.25,kSGB_4584,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Ruminococcus_gnavus,t__SGB4584,0.023700697
cluster.37,kSGB_13091,Species,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Laribacter,s__Laribacter_hongkongensis,t__SGB13091,0.02439225
cluster.36,kSGB_4262,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__Ruminococcus_bicirculans,t__SGB4262,0.024693255
cluster.14,kSGB_15300,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger_formicilis,t__SGB15300,0.024713938
cluster.121,kSGB_7989,Species,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_raffinolactis,t__SGB7989,0.0250062
cluster.2,kSGB_714,Species,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__Methanobrevibacter_smithii,t__SGB714,0.025710123
cluster.70,kSGB_12609,Species,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azospira,s__Azospira_oryzae,t__SGB12609,0.0259684
cluster.138,kSGB_1965,Species,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Barnesiellaceae,g__Barnesiella,s__Barnesiella_intestinihominis,t__SGB1965,0.026032681
cluster.67,kSGB_1844,Species,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_cellulosilyticus,t__SGB1844,0.026069964
cluster.61,kSGB_4925,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__Roseburia_faecis,t__SGB4925,0.02634505
cluster.113,kSGB_9228,Species,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia_muciniphila,t__SGB9228,0.027624009
cluster.186,uSGB_4753,Family,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__GGB3554,s__GGB3554_SGB4753,t__SGB4753,0.027865039
cluster.53,uSGB_1699,Family,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB1266,s__GGB1266_SGB1699,t__SGB1699,0.027885613
cluster.93,kSGB_10296,Species,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,t__SGB10296,0.0280002
cluster.86,uSGB_4993,Other,k__Bacteria,p__Firmicutes,c__CFGB1464,o__OFGB1464,f__FGB1464,g__GGB3679,s__GGB3679_SGB4993,t__SGB4993,0.02800532
cluster.41,uSGB_4367,Other,k__Bacteria,p__Firmicutes,c__CFGB1354,o__OFGB1354,f__FGB1354,g__GGB3304,s__GGB3304_SGB4367,t__SGB4367,0.028046012
cluster.8,uSGB_15369,Other,k__Bacteria,p__Firmicutes,c__CFGB3068,o__OFGB3068,f__FGB3068,g__GGB9758,s__GGB9758_SGB15369,t__SGB15369,0.028131305
cluster.126,kSGB_9955,Species,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_caviae,t__SGB9955,0.028322868
cluster.143,uSGB_4705,Family,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_unclassified,g__GGB3525,s__GGB3525_SGB4705,t__SGB4705,0.028329053
cluster.81,uSGB_12629,Family,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8253,s__GGB8253_SGB12629,t__SGB12629,0.0289006
cluster.40,kSGB_4575,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea,s__Dorea_formicigenerans,t__SGB4575,0.029126876
cluster.98,kSGB_2301,Species,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_finegoldii,t__SGB2301,0.029894728
cluster.142,kSGB_1855,Species,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_fragilis,t__SGB1855,0.030023672
cluster.32,uSGB_4269,Other,k__Bacteria,p__Firmicutes,c__CFGB1334,o__OFGB1334,f__FGB1334,g__GGB3232,s__GGB3232_SGB4269,t__SGB4269,0.030093497
cluster.97,kSGB_1934,Species,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides_distasonis,t__SGB1934,0.030127363
cluster.177,kSGB_4582,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea,s__Dorea_longicatena,t__SGB4582,0.031264901
cluster.165,kSGB_14853,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_unclassified,s__Clostridium_leptum,t__SGB14853,0.03185683
cluster.187,kSGB_17256,Species,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_bifidum,t__SGB17256,0.032051983
cluster.174,uSGB_4809,Family,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__GGB3589,s__GGB3589_SGB4809,t__SGB4809,0.032470343
cluster.42,kSGB_5090,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_unclassified,g__Clostridiales_unclassified,s__Clostridiales_bacterium_KLE1615,t__SGB5090,0.032551103
cluster.84,kSGB_15452,Species,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila,s__Bilophila_wadsworthia,t__SGB15452,0.032717102
cluster.171,uSGB_4290,Family,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB3244,s__GGB3244_SGB4290,t__SGB4290,0.032981436
cluster.60,kSGB_5825,Species,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister,s__Dialister_invisus,t__SGB5825,0.033076771
cluster.89,uSGB_4914,Other,k__Bacteria,p__Firmicutes,c__CFGB1451,o__OFGB1451,f__FGB1451,g__GGB3628,s__GGB3628_SGB4914,t__SGB4914,0.03382205
cluster.129,uSGB_6925,Family,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__GGB4962,s__GGB4962_SGB6925,t__SGB6925,0.0340249
cluster.77,kSGB_4532,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Anaerobutyricum,s__Anaerobutyricum_hallii,t__SGB4532,0.034550861
cluster.56,uSGB_6754,Genus,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Coprobacillus,s__Coprobacillus_SGB6754,t__SGB6754,0.034692263
cluster.54,uSGB_17274,Genus,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_SGB17274,t__SGB17274,0.0348011
cluster.168,uSGB_4303,Other,k__Bacteria,p__Firmicutes,c__CFGB1340,o__OFGB1340,f__FGB1340,g__GGB3256,s__GGB3256_SGB4303,t__SGB4303,0.03579223
cluster.155,kSGB_4826,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Blautia_sp_KLE_1732,t__SGB4826,0.035836377
cluster.109,uSGB_6317,Other,k__Bacteria,p__Firmicutes,c__CFGB1765,o__OFGB1765,f__FGB1765,g__GGB4571,s__GGB4571_SGB6317,t__SGB6317,0.036011226
cluster.90,kSGB_5082,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_eligens,t__SGB5082,0.036468216
cluster.145,kSGB_1836,Species,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_uniformis,t__SGB1836,0.037157707
cluster.141,kSGB_4940,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__Roseburia_inulinivorans,t__SGB4940,0.039314951
cluster.99,kSGB_4820,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Ruminococcus_torques,t__SGB4820,0.040472634
cluster.124,kSGB_4811,Species,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Blautia_obeum,t__SGB4811,0.041164742
cluster.164,kSGB_19413,Species,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,s__Arcobacter_butzleri,t__SGB19413,0.042167923
cluster.127,uSGB_1903,Genus,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_SGB1903,t__SGB1903,0.042834583
cluster.150,kSGB_5858,Species,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Megasphaera,s__Megasphaera_sp_BL7,t__SGB5858,0.043610551
